"","Genes","hgnc_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DR_UR","Type"
"75","ENSG00000010626","LRRC23",2.80545468871867,-4.40334743242814,1.11118701354043,-3.9627419856162,0.0000740938441026108,0.000229704818002165,"DR","Immune"
"122","ENSG00000028277","POU2F2",43.5026892323449,-8.3658753363249,0.95103598691548,-8.79659177089415,0.00000000000000000141034232668154,0.0000000000000000151820824795347,"DR","Immune"
"340","ENSG00000072952","MRVI1",6.82910625125795,-5.22169516647657,0.95918223607474,-5.44390311881224,0.0000000521255774956467,0.000000237868832515345,"DR","Immune"
"513","ENSG00000089820","ARHGAP4",11.5724371230178,-6.49498603396655,0.974422899546563,-6.6654694147571,0.0000000000263820749690433,0.000000000163211309168278,"DR","Immune"
"758","ENSG00000104522","TSTA3",23.9142907174516,-7.5431984279695,0.929132546442419,-8.11853858402858,0.000000000000000471830710779929,0.00000000000000424647639701936,"DR","Immune"
"760","ENSG00000104529","EEF1D",10.6103114855067,-6.30588802954057,0.976507312579638,-6.4575942732905,0.00000000010638048374968,0.000000000623344366482165,"DR","Immune"
"761","ENSG00000104537","ANXA13",2.57908739348583,-4.26743327336039,1.12860078821305,-3.78117162235653,0.000156092016648693,0.000464230468521059,"DR","Immune"
"814","ENSG00000105501","SIGLEC5",11.4046288920365,-6.46172285161058,0.92989357956263,-6.94888425259353,0.0000000000036818646747083,0.0000000000242773870250918,"DR","Immune"
"946","ENSG00000110077","MS4A6A",11.6952073590995,-5.35024114484957,0.957525681374953,-5.58756934557298,0.0000000230269818481891,0.000000108900357200766,"DR","Immune"
"1007","ENSG00000112139","MDGA1",8.1131059363874,-5.97115517462663,0.969688270179113,-6.15780901786477,0.000000000737582260359561,0.00000000401046701881585,"DR","Immune"
"1151","ENSG00000116815","CD58",8.10303125703529,-5.95759546529405,0.941056421465492,-6.33075268326249,0.000000000243968126071619,0.00000000138772093466693,"DR","Immune"
"1165","ENSG00000117335","CD46",31.1377247578419,-7.79499397618773,0.902996004003013,-8.63236818505536,0.00000000000000000600945790431723,0.0000000000000000617539069719763,"DR","Immune"
"1332","ENSG00000124491","F13A1",57.6436613768628,-8.77535154077062,0.885662856227908,-9.90823029221906,0.0000000000000000000000383376519170066,0.000000000000000000000551821742401234,"DR","Immune"
"1379","ENSG00000125780","TGM3",6.25296988274556,-5.49183398866925,0.973279789195397,-5.64260559978267,0.0000000167495739002847,0.000000080292996555934,"DR","Immune"
"1428","ENSG00000127364","TAS2R4",3.25163842767977,-4.07934072086888,1.03095526551352,-3.95685521702724,0.0000759429271420891,0.000234952429899996,"DR","Immune"
"1429","ENSG00000127399","LRRC61",5.90669029955679,-5.46853541176526,0.963435781404383,-5.67607672178613,0.0000000137818985310228,0.0000000666272941271563,"DR","Immune"
"1500","ENSG00000129990","SYT5",2.57534244558495,-4.28805861388608,1.12048685387094,-3.82696021740205,0.00012973547251872,0.000390909727917455,"DR","Immune"
"1597","ENSG00000132589","FLOT2",33.5374977755609,-7.98035314016579,1.02937967034918,-7.75258475568956,0.00000000000000900406794690648,0.0000000000000735094954321555,"DR","Immune"
"1714","ENSG00000135945","REV1",35.3528706422373,-7.16574097438401,0.889544732878314,-8.05551503992127,0.000000000000000791448365061801,0.00000000000000702734700928598,"DR","Immune"
"1850","ENSG00000140287","HDC",102.511350262014,-9.63335436053215,0.856598454038785,-11.2460562065128,0.0000000000000000000000000000242180341942079,0.000000000000000000000000000498976056141011,"DR","Immune"
"2258","ENSG00000153721","CNKSR3",9.32440338243175,-6.1635478672854,0.93798136059061,-6.57107713036478,0.0000000000499525737031924,0.000000000301577028816789,"DR","Immune"
"2366","ENSG00000158270","COLEC12",18.4566599750707,-6.92190883235661,0.88219386810388,-7.84624455306409,0.00000000000000428680618396426,0.0000000000000359569468953429,"DR","Immune"
"2371","ENSG00000158417","EIF5B",4.56653380720812,-5.08786204047839,0.987434767924664,-5.15260572723378,0.000000256891697598228,0.00000108703672499696,"DR","Immune"
"2374","ENSG00000158457","TSPAN33",20.4681544856283,-7.31897012241345,0.937007348380717,-7.81100610903605,0.00000000000000567332647786022,0.0000000000000472272275668324,"DR","Immune"
"2423","ENSG00000160216","AGPAT3",121.266545023985,-9.87839177229336,0.852136837336556,-11.592494702106,0.000000000000000000000000000000449836630699188,0.0000000000000000000000000000102951530272485,"DR","Immune"
"2474","ENSG00000161638","ITGA5",32.4320347731215,-7.95084827082648,0.895635100632617,-8.87732991394656,0.000000000000000000684844453760471,0.00000000000000000750920355271268,"DR","Cancer"
"2552","ENSG00000163499","CRYBA2",17.1859142810101,-6.56333323753099,0.90019553594625,-7.29100842588813,0.00000000000030764352447071,0.00000000000224536289679948,"DR","Immune"
"2637","ENSG00000164742","ADCY1",15.686856636276,-6.90004686945273,0.902661826236833,-7.64411063910701,0.0000000000000210394442239342,0.00000000000016778753685149,"DR","Immune"
"2755","ENSG00000167208","SNX20",13.2922890901261,-6.69278938923108,0.904644934121631,-7.39825000593131,0.000000000000137990875595655,0.00000000000102895362289829,"DR","Immune"
"2892","ENSG00000169957","ZNF768",16.3505457059866,-6.85408419301998,0.944241660530837,-7.25882417554711,0.000000000000390469629642667,0.00000000000283111898210419,"DR","Immune"
"3025","ENSG00000173391","OLR1",94.1202464097971,-9.05508744474837,1.11093341987174,-8.15088220659867,0.000000000000000361278897093865,0.0000000000000032729015874885,"DR","Immune"
"3055","ENSG00000174059","CD34",2.78587900524256,-4.40101851039208,1.22927611177004,-3.58017085685901,0.000343369615760327,0.000968066802733943,"DR","Immune"
"3098","ENSG00000175087","PDIK1L",5.11494422985469,-5.27135042037402,0.991490987451114,-5.31658934583501,0.000000105730317819138,0.000000467761116905872,"DR","Immune"
"3165","ENSG00000176723","ZNF843",11.6277753001718,-5.80123931283737,1.05365609075957,-5.50581860980398,0.0000000367456732664239,0.000000170557726138873,"DR","Immune"
"3243","ENSG00000178761","FAM219B",3.69016166713734,-4.82186679454345,1.22662014607906,-3.93101875096112,0.0000845866738449438,0.00026062095816033,"DR","Immune"
"3347","ENSG00000181991","MRPS11",24.4958785245928,-7.57082602493931,0.888662293870552,-8.5193510258714,0.0000000000000000160449848902438,0.00000000000000016029463744038,"DR","Immune"
