"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0002376","BP","GO:0002376","immune system process",51,-0.4484361381439,-2.73874892177955,0.000000996934301860875,0.000000996934301860875,0.000289688599003547,54,"tags=49%, list=10%, signal=49%","965/10437/8778/4005/81035/8891/4841/4179/725/3678/2319/5452/387836/3684/29781/6688/9976/54209/9844/3802/6891/100049587/4063/27293/5914"
"GO:0006955","BP","GO:0006955","immune response",36,-0.513855561928499,-2.823951317085,0.00000130160708159526,0.00000130160708159526,0.000289688599003547,106,"tags=56%, list=19%, signal=48%","965/10437/8778/81035/8891/4841/4179/725/5452/387836/3684/9976/54209/9844/3802/6891/100049587/4063/27293/5914"
"GO:0045087","BP","GO:0045087","innate immune response",15,-0.690157568833518,-2.77237787707506,0.00000156070417232535,0.00000156070417232535,0.000289688599003547,106,"tags=80%, list=19%, signal=66%","965/10437/81035/4841/4179/725/387836/3684/54209/100049587/4063/27293"
"GO:0098542","BP","GO:0098542","defense response to other organism",20,-0.590730658753859,-2.6496637442251,0.0000152141009056654,0.0000152141009056654,0.00163980517434121,106,"tags=65%, list=19%, signal=54%","965/10437/81035/254773/4841/4179/725/387836/3684/54209/100049587/4063/27293"
"GO:0043207","BP","GO:0043207","response to external biotic stimulus",27,-0.511298626072286,-2.55316732174066,0.0000176689782490452,0.0000176689782490452,0.00163980517434121,106,"tags=56%, list=19%, signal=47%","965/10437/81035/254773/4841/4179/725/2332/5452/387836/3684/54209/100049587/4063/27293"
"GO:0051707","BP","GO:0051707","response to other organism",27,-0.511298626072286,-2.55316732174066,0.0000176689782490452,0.0000176689782490452,0.00163980517434121,106,"tags=56%, list=19%, signal=47%","965/10437/81035/254773/4841/4179/725/2332/5452/387836/3684/54209/100049587/4063/27293"
"GO:0002684","BP","GO:0002684","positive regulation of immune system process",17,-0.593264391952948,-2.50059077377853,0.0000556373268634956,0.0000556373268634956,0.00442588660312619,54,"tags=53%, list=10%, signal=49%","8891/4841/4179/725/2319/3684/54209/9844/5914"
"GO:0009607","BP","GO:0009607","response to biotic stimulus",29,-0.470806044896149,-2.40959435616511,0.0000657572083613381,0.0000657572083613381,0.00457704779251945,106,"tags=52%, list=19%, signal=44%","965/10437/81035/254773/4841/4179/725/2332/5452/387836/3684/54209/100049587/4063/27293"
"GO:0006950","BP","GO:0006950","response to stress",67,-0.344149758124068,-2.26563559006931,0.0000897804578906362,0.0000897804578906362,0.00551742675678402,76,"tags=34%, list=14%, signal=34%","107/81035/51455/254773/64963/5339/8891/4841/4179/725/3678/2332/255738/387836/3684/6688/2162/54209/8382/4494/100049587/4063/27293"
"GO:0002252","BP","GO:0002252","immune effector process",19,-0.558788762684184,-2.45645792922425,0.000104856556305716,0.000104856556305716,0.00551742675678402,51,"tags=58%, list=9%, signal=54%","965/8778/4179/725/387836/3684/54209/9844/100049587/4063/5914"
"GO:0050776","BP","GO:0050776","regulation of immune response",20,-0.544770367523982,-2.44351341912986,0.000108992645762558,0.000108992645762558,0.00551742675678402,75,"tags=55%, list=14%, signal=49%","81035/8891/4841/4179/725/3684/9976/54209/9844/3802/5914"
