,Genes,hgnc_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,DR_UR,Type
0,ENSG00000010626,LRRC23,1.031565625202922,-4.40334743242814,1.1111870135404298,-3.9627419856162,7.305301813069915e-05,0.00022493420296488718,DR,Immune
1,ENSG00000028277,POU2F2,3.7728227576169884,-8.365875336324901,0.9510359869154801,-8.796591770894151,0.0,0.0,DR,Immune
2,ENSG00000072952,MRVI1,1.9211938086890687,-5.221695166476571,0.95918223607474,-5.443903118812241,5.212505739072189e-08,2.378636442595509e-07,DR,Immune
3,ENSG00000089820,ARHGAP4,2.448626160598336,-6.4949860339665495,0.974422899546563,-6.665469414757099,2.6382007556352855e-11,1.6321121987233344e-10,DR,Immune
4,ENSG00000104522,TSTA3,3.1744762182124724,-7.5431984279695,0.9291325464424192,-8.11853858402858,4.4408920985002485e-16,4.218847493573963e-15,DR,Immune
5,ENSG00000104529,EEF1D,2.3618263099241514,-6.3058880295405695,0.976507312579638,-6.4575942732905,1.0638045783062854e-10,6.233442294651317e-10,DR,Immune
6,ENSG00000104537,ANXA13,0.9474356129035235,-4.26743327336039,1.12860078821305,-3.78117162235653,0.0001515205738969847,0.0004450212919958796,DR,Immune
7,ENSG00000105501,SIGLEC5,2.43401931614833,-6.461722851610579,0.9298935795626301,-6.948884252593531,3.681943636272243e-12,2.427746887003884e-11,DR,Immune
8,ENSG00000110077,MS4A6A,2.4591791304560844,-5.35024114484957,0.957525681374953,-5.58756934557298,2.3026880393835238e-08,1.0889926975104241e-07,DR,Immune
9,ENSG00000112139,MDGA1,2.0934807709373664,-5.971155174626629,0.9696882701791129,-6.1578090178647695,7.375821134031124e-10,4.010465594747032e-09,DR,Immune
10,ENSG00000116815,CD58,2.0922382209357036,-5.95759546529405,0.9410564214654921,-6.33075268326249,2.4396816760064704e-10,1.3877206505569563e-09,DR,Immune
11,ENSG00000117335,CD46,3.43842009879884,-7.794993976187731,0.9029960040030129,-8.63236818505536,0.0,0.0,DR,Immune
12,ENSG00000124491,F13A1,4.05428029057233,-8.77535154077062,0.885662856227908,-9.908230292219061,0.0,0.0,DR,Immune
13,ENSG00000125780,TGM3,1.8330565321247467,-5.49183398866925,0.9732797891953969,-5.642605599782669,1.6749520255864245e-08,8.029240532487004e-08,DR,Immune
14,ENSG00000127364,TAS2R4,1.1791590009037816,-4.07934072086888,1.0309552655135201,-3.95685521702724,7.484976068875351e-05,0.00022996295337198344,DR,Immune
15,ENSG00000127399,LRRC61,1.7760856575544537,-5.468535411765259,0.9634357814043829,-5.67607672178613,1.3781862158509962e-08,6.662688707767373e-08,DR,Immune
16,ENSG00000129990,SYT5,0.9459825138501824,-4.28805861388608,1.1204868538709398,-3.82696021740205,0.0001265669247661506,0.0003772284837999717,DR,Immune
17,ENSG00000132589,FLOT2,3.5126641494248196,-7.98035314016579,1.0293796703491802,-7.752584755689559,9.10382880191042e-15,7.349676422969006e-14,DR,Immune
18,ENSG00000135945,REV1,3.565379595332299,-7.1657409743840095,0.8895447328783141,-8.05551503992127,8.881784196999742e-16,7.105427357596373e-15,DR,Immune
19,ENSG00000140287,HDC,4.629973526711428,-9.63335436053215,0.8565984540387851,-11.246056206512801,0.0,0.0,DR,Immune
20,ENSG00000153721,CNKSR3,2.23263498304677,-6.1635478672854,0.9379813605906101,-6.57107713036478,4.995248611399708e-11,3.0157697726678665e-10,DR,Immune
21,ENSG00000158270,COLEC12,2.915425279609577,-6.9219088323566105,0.88219386810388,-7.84624455306409,4.2188474935721886e-15,3.5971225997736415e-14,DR,Immune
22,ENSG00000158417,EIF5B,1.5187544504306605,-5.08786204047839,0.987434767924664,-5.15260572723378,2.5687906760266565e-07,1.0869283815038345e-06,DR,Immune
23,ENSG00000158457,TSPAN33,3.0188702385803916,-7.31897012241345,0.9370073483807171,-7.811006109036049,5.773159728044435e-15,4.7295500848826565e-14,DR,Immune
24,ENSG00000160216,AGPAT3,4.797990974314681,-9.878391772293359,0.8521368373365559,-11.592494702105999,0.0,0.0,DR,Immune
25,ENSG00000161638,ITGA5,3.4791466618946116,-7.95084827082648,0.895635100632617,-8.87732991394656,0.0,0.0,DR,Cancer
26,ENSG00000163499,CRYBA2,2.8440901111566155,-6.56333323753099,0.90019553594625,-7.29100842588813,3.0775382240796635e-13,2.2453150445396438e-12,DR,Immune
27,ENSG00000164742,ADCY1,2.7528232048176164,-6.900046869452731,0.902661826236833,-7.6441106391070095,2.109423746779281e-14,1.6786572132073981e-13,DR,Immune
28,ENSG00000167208,SNX20,2.587184099437759,-6.69278938923108,0.9046449341216309,-7.39825000593131,1.3788969965480543e-13,1.0289546991255136e-12,DR,Immune
29,ENSG00000169957,ZNF768,2.794261273299221,-6.85408419301998,0.944241660530837,-7.25882417554711,3.905764600339334e-13,2.831068712059222e-12,DR,Immune
31,ENSG00000174059,CD34,1.0245634448533458,-4.40101851039208,1.2292761117700401,-3.58017085685901,0.00032176347581020176,0.0008870265137111771,DR,Immune
32,ENSG00000175087,PDIK1L,1.6321664960899338,-5.27135042037402,0.9914909874511141,-5.31658934583501,1.0572817832700988e-07,4.6774105470801514e-07,DR,Immune
33,ENSG00000176723,ZNF843,2.453396658479285,-5.801239312837371,1.05365609075957,-5.50581860980398,3.674541474805213e-08,1.705550588024422e-07,DR,Immune
34,ENSG00000178761,FAM219B,1.3056702693250495,-4.821866794543451,1.22662014607906,-3.9310187509611203,8.323199054729474e-05,0.0002544913333938583,DR,Immune
35,ENSG00000181991,MRPS11,3.1985048799135156,-7.57082602493931,0.8886622938705521,-8.519351025871401,0.0,2.2204460492502677e-16,DR,Immune
36,ENSG00000189337,KAZN,2.209536448715013,-6.124532474745519,0.939082448532162,-6.52182615522045,6.945643967566363e-11,4.134361585114587e-10,DR,Immune
37,ENSG00000196458,ZNF605,2.5438626434656726,-6.118503156738269,0.9432829649554699,-6.48639208387179,8.79161173501075e-11,5.188311755417837e-10,DR,Immune
38,ENSG00000197077,KIAA1671,2.62349802164082,-6.73204206939385,0.995897439662606,-6.75977445195015,1.3820722307790758e-11,8.753264709414572e-11,DR,Immune
39,ENSG00000205022,PABPN1L,0.9864873000959007,-4.30831290525517,1.1871519148867802,-3.6291167551762498,0.00026946118710058473,0.0007552136677412521,DR,Immune
40,ENSG00000205336,ADGRG1,1.7012628188055683,-5.32573106072323,0.985136917854294,-5.406082103108151,6.44174822811567e-08,2.9146198035666866e-07,DR,Immune
41,ENSG00000214846,,0.8917635107072402,-4.0850239083133,1.0983558900289,-3.7192170091661296,0.0001923895335840812,0.0005557206124650085,DR,Immune
42,ENSG00000215018,COL28A1,1.7355550412507592,-4.92022252192826,1.04923691448143,-4.68933417612359,2.7395171098116345e-06,1.0304878755804897e-05,DR,Immune
43,ENSG00000216490,IFI30,2.2322895818293795,-6.06765178091559,0.9370812466023589,-6.475054113947429,9.4777961536175e-11,5.577318321723359e-10,DR,Immune
44,ENSG00000221988,PPT2,1.1070374764152284,-3.99514623817717,1.11258249500264,-3.5908764124207204,0.00030962934242769006,0.000856738955819156,DR,Immune
45,ENSG00000222004,C7orf71,1.2374931958746462,-4.72004591336737,1.15516468053832,-4.08603724896417,4.351387706573953e-05,0.00013920345739287506,DR,Immune
46,ENSG00000223944,,3.5663249889260316,-8.08926054129538,0.8873126062382959,-9.11658471256176,0.0,0.0,DR,Immune
47,ENSG00000224354,MTND2P5,1.0965216493198435,-4.48288928852821,1.08996113280032,-4.11288912386334,3.8783055059345786e-05,0.00012523797553605663,DR,Immune
48,ENSG00000224671,,3.705271469900335,-8.29976179316233,0.951129647193228,-8.726214998822531,0.0,0.0,DR,Immune
49,ENSG00000225496,,1.3664687087020306,-4.21358494505101,1.07728579895588,-3.91129721484761,9.020753851832044e-05,0.00027444457913564205,DR,Immune
50,ENSG00000225731,,1.6718816407283235,-5.2774680466288295,1.01363734313804,-5.2064656875118205,1.9246417411247474e-07,8.255852545463577e-07,DR,Immune
51,ENSG00000226375,,1.2780622315282748,-4.780460240944611,1.03431388108477,-4.6218660779559,3.8002682995792923e-06,1.4034089758994255e-05,DR,Immune
52,ENSG00000230980,RPL36AP39,3.860778379341595,-6.97689522790341,0.829076949869383,-8.41525654404285,0.0,4.440892098500446e-16,DR,Immune
53,ENSG00000231107,LINC01508,4.210215386455129,-8.521987221964629,0.863241928920822,-9.87207286446147,0.0,0.0,DR,Immune
54,ENSG00000231357,,3.1518206331694447,-7.49622498981628,0.9043387111459421,-8.28917848746889,2.2204460492502184e-16,1.1102230246250435e-15,DR,Immune
55,ENSG00000233178,,1.8857043487969791,-5.2024935171594,1.06889055920541,-4.86719007138283,1.1317163113404669e-06,4.465457907337917e-06,DR,Immune
56,ENSG00000234009,RPL5P34,4.25659622775458,-8.15992808779077,0.871420793815767,-9.363935478358481,0.0,0.0,DR,Immune
57,ENSG00000235123,DSCAM-AS1,3.3413343017616035,-7.7726171234911,0.872995976632687,-8.90338252585261,0.0,0.0,DR,Immune
58,ENSG00000236356,,1.6849374703392042,-5.3543438819930795,0.9686736534032829,-5.527500271305441,3.248237069295042e-08,1.5166277593401355e-07,DR,Immune
59,ENSG00000237036,ZEB1-AS1,1.5691463499453755,-4.70635966928554,1.0199927189659999,-4.61411104390679,3.9448319233510195e-06,1.4531943910798438e-05,DR,Immune
60,ENSG00000248302,BNIP3P41,1.1519438565351943,-4.27222357233812,1.10761146875318,-3.85714999606071,0.0001122346420974081,0.00033713327637001605,DR,Immune
61,ENSG00000253973,,3.121403034299424,-7.4463387851664296,0.9015252208487159,-8.25971211116676,2.2204460492502184e-16,1.3322676295500251e-15,DR,Immune
62,ENSG00000259494,MRPL46,1.12226104443459,-4.52785987080684,1.1804369321444,-3.83574907520172,0.00012223042333476573,0.00036489149574647284,DR,Immune
63,ENSG00000260757,,1.0839765787138094,-4.496396220729549,1.09286983700646,-4.114301693096279,3.8548101858020334e-05,0.0001245790516020024,DR,Immune
64,ENSG00000265354,TIMM23,1.9687417158003406,-5.199399135804,1.08491590869448,-4.7924443674723305,1.6470952323419433e-06,6.36474688044032e-06,DR,Immune
65,ENSG00000265666,RARA-AS1,4.634526353853522,-9.64972346393145,0.852073483507493,-11.3249897464349,0.0,0.0,DR,Immune
66,ENSG00000267605,,1.1994978036408954,-4.53415294505316,1.04201115240621,-4.35134780907374,1.3495345026584194e-05,4.647618160659658e-05,DR,Immune
67,ENSG00000267614,,0.8316994784239758,-4.058767672780331,1.10294113515746,-3.67994949449492,0.00022316872133192268,0.0006371763300173843,DR,Immune
68,ENSG00000270149,,4.6527856142582085,-9.675605471872641,0.852216522307687,-11.353459148706,0.0,0.0,DR,Immune
69,ENSG00000279144,,2.624082018831321,-6.73018107797014,0.9969185240206919,-6.750984073228481,1.468447581623681e-11,9.282619038801422e-11,DR,Immune
70,ENSG00000279780,,1.1553983715424068,-4.585986462413639,1.1575371541053898,-3.9618481758004,7.332321542324116e-05,0.0002256712077708256,DR,Immune
71,ENSG00000283138,,3.4505275687524226,-7.92586280407472,0.865219779710732,-9.160519662096231,0.0,0.0,DR,Immune
72,ENSG00000283417,,2.091891778124579,-5.94117588514146,0.9373763976831929,-6.338089906920629,2.326310151965212e-10,1.3259729478719178e-09,DR,Immune
73,ENSG00000284702,,2.1612999034456344,-6.0525078829391905,1.25909476629601,-4.80703124574522,1.5314315234905519e-06,5.937341261343712e-06,DR,Immune
74,ENSG00000120341,SEC16B,0.5003149389821478,3.60154539024295,1.4458115511642,2.4910199308775,0.0025984305966962338,0.005437602274824534,UR,Immune
75,ENSG00000230124,ACBD6,0.3925824746522723,3.26244983457762,1.39138872187096,2.34474362433432,0.0026173477212699894,0.00547686606706078,UR,Immune
76,ENSG00000229463,LYST-AS1,0.8081809398973361,4.02404810571739,1.2120353895375902,3.3200747605667202,0.0007613314253666594,0.001928674697384915,UR,Immune
77,ENSG00000186197,EDARADD,0.5406395226361378,3.62594305360263,1.29687844965796,2.79590045972229,0.0022543235084670327,0.00484321841018,UR,Immune
78,ENSG00000171094,ALK,1.0275601286556575,4.13384090607271,1.1815103777222,3.49877663710598,0.00042797815251957436,0.0011493371052668634,UR,Immune
79,ENSG00000188177,ZC3H6,0.7558199285835753,3.96656441470298,1.1555022034108797,3.4327623114817296,0.0005340808753933856,0.0014006643247014801,UR,Immune
80,ENSG00000202175,RNA5SP128,0.5407367283552503,3.66931981286733,1.2415052191851799,2.9555411899722497,0.0018222658433563407,0.004071677227339495,UR,Immune
81,ENSG00000253766,,1.0528829746683124,-3.2445998003872103,1.38162274697469,-2.34839778622048,0.0026172068579225867,0.0054765268794871955,DR,Immune
82,ENSG00000264675,MIR4285,0.4941966557599391,3.56971203634361,1.23449751109837,2.89163161873653,0.0020112287602170754,0.004410878769612111,UR,Immune
83,ENSG00000226045,,0.8459663978307386,3.6194208007323905,1.2909978774381399,2.8035838509004902,0.00223705225643445,0.004813568171046586,UR,Immune
84,ENSG00000157680,DGKI,0.7435636087333173,3.91114879595183,1.19311472526478,3.2780995097381496,0.0008613977183843434,0.0021469875828633005,UR,Immune
85,ENSG00000254229,FAM90A12P,0.4896083378921154,3.60951884046491,1.29136358889498,2.7951220488983797,0.002256049253380415,0.004845371008947813,UR,Immune
86,ENSG00000201365,,0.2870709771394239,3.22134031325109,1.37329472009989,2.3457021031995096,0.002617311603989309,0.0054767731030822804,UR,Immune
87,ENSG00000175535,PNLIP,0.37794223839508695,3.10887310948613,1.35198114990249,2.29949441951196,0.002618516553943512,0.005479934132867158,UR,Immune
89,ENSG00000251562,MALAT1,0.7319942183930015,3.95151453385628,1.2189870366732398,3.2416378640419703,0.0009549268159775132,0.0023479990472552183,UR,Immune
90,ENSG00000228825,LAMTOR3P1,0.13924394004502727,3.0271654153782896,1.32733106579725,2.28064082381742,0.002618779686004048,0.005480740979706277,UR,Immune
91,ENSG00000206800,RNY3P7,0.32983846854949417,3.32649412094603,1.3946998610981203,2.3850967607660802,0.002615218260165825,0.005471844297913172,UR,Immune
92,ENSG00000021645,NRXN3,1.1537078303080717,3.06613140328353,1.0362118482749498,2.95898122414631,0.0018116909014476957,0.004053121146457203,UR,Immune
93,ENSG00000156411,ATP5MJ,0.7378032597083902,3.9124007761138397,1.19174471693615,3.2829184979919397,0.0008494895577517437,0.0021206472245059297,UR,Immune
94,ENSG00000225825,IGHD6-25,0.13759916697218075,3.01226568099224,1.29673864206198,2.32295513011191,0.0026180272570863698,0.005478603361312417,UR,Immune
95,ENSG00000137878,GCOM1,0.21387374033875906,3.16986194332017,1.41736648408483,2.23644482842903,0.002619114617146063,0.005481883467989671,UR,Immune
96,ENSG00000171914,TLN2,0.8354790333589501,4.07006003065071,1.26318286903066,3.22206715309083,0.0010075421129981878,0.002459874567263489,UR,Immune
97,ENSG00000169118,CSNK1G1,0.8580711677717446,3.18625432382523,1.1814712783127599,2.6968529682545097,0.002436651109512587,0.005153900911621961,UR,Immune
98,ENSG00000207223,,0.6885884820417353,3.88918585581338,1.20211480331367,3.2352865509123703,0.0009718226337612878,0.0023838383745961697,UR,Immune
99,ENSG00000259347,,0.5096460180262558,3.5686703173317795,1.2525910504351798,2.84903066814341,0.0021264975921311815,0.00461751005098716,UR,Immune
100,ENSG00000261775,,0.6637105268518733,3.41256689027228,1.25292266349731,2.7236851800147797,0.002394800318965906,0.005080507912521682,UR,Immune
101,ENSG00000260498,,1.2185461717078483,3.4794194698787098,1.1948134712021798,2.9121026450914003,0.001952491487332816,0.00430664112280515,UR,Immune
102,ENSG00000264907,PRELID3BP3,0.7863132263381266,4.02547408721468,1.1726949263616202,3.4326694835322797,0.0005342436347982877,0.001400878996861545,UR,Immune
103,ENSG00000280351,,1.1754471950134007,4.04971377969625,1.1657211490141202,3.4739987201237597,0.0004655861760399788,0.0012400082001987186,UR,Immune
104,ENSG00000278933,,0.2902564776221574,3.28699434871499,1.3160527608081298,2.4976159365347796,0.0025965009769960794,0.005434092143823167,UR,Immune
105,ENSG00000186994,KANK3,0.7456230477498521,3.9974972161346503,1.30324576408344,3.067339504415,0.0014698889585942072,0.0033996961293771316,UR,Immune
106,ENSG00000267594,CYP4F24P,1.0231103439963498,4.2190007696583995,1.184104827861,3.5630297845163796,0.0003420420930038205,0.0009390674296615091,UR,Immune
107,ENSG00000273837,,0.3144615395184786,3.20842824107912,1.33761809645747,2.3986130642044197,0.0026141530436800055,0.005469448093867297,UR,Immune
108,ENSG00000182310,SPACA6,0.7254430641386075,3.90243796539594,1.15571751124444,3.37663652876032,0.0006397560873205359,0.0016519653561046517,UR,Immune
109,ENSG00000131042,LILRB2,0.6219437821671893,3.82886341425071,1.39305777463784,2.74853167180816,0.002351023106051367,0.005006119354630462,UR,Immune
110,ENSG00000089101,CFAP61,0.6197891704079388,3.77920873698214,1.2629212958881102,2.9924340885585803,0.0017074331930899086,0.0038557638246687147,UR,Immune
111,ENSG00000160214,RRP1,0.9558982943848932,3.5629100693217794,1.04444448392464,3.4112967459349104,0.000572766691161443,0.0014922973359111,UR,Immune
112,ENSG00000239900,ADSL,0.807595937407484,3.90684243289871,1.29048269169812,3.02742722396205,0.001596625763947719,0.0036453582172802715,UR,Immune
113,ENSG00000172534,HCFC1,0.8709575017231286,3.70137401386533,1.21485166978447,3.0467703226040697,0.0015351336813795116,0.003527836536283273,UR,Immune
116,ENSG00000025770,NCAPH2,4.6494859891104685,-8.67644850136418,0.856640459111484,-10.1284598562663,0.0,0.0,DR,Immune
117,ENSG00000048740,CELF2,4.4758974033748045,-8.47547912011357,0.8363414611719758,-10.1339937257646,0.0,0.0,DR,Immune
118,ENSG00000056998,GYG2,3.1562291675265346,-7.50970502874879,0.8897222573890029,-8.44050485011685,0.0,2.2204460492502677e-16,DR,Immune
119,ENSG00000057704,TMCC3,3.5131467579062,-7.98986362326972,0.8705374546174359,-9.1780814034945,0.0,0.0,DR,Immune
120,ENSG00000066336,SPI1,4.012658450308265,-8.7034084275288,0.943282836629891,-9.22672192215842,0.0,0.0,DR,Immune
121,ENSG00000070785,EIF2B3,3.2848173598543364,-7.70645094820636,0.9573153149204029,-8.05006545711339,8.881784196999742e-16,7.327471962521109e-15,DR,Immune
122,ENSG00000072849,DERL2,1.9799219834178818,-5.312322369430889,0.9678791998949531,-5.4886212762992,4.050799620608689e-08,1.8717780471045954e-07,DR,Immune
123,ENSG00000078399,HOXA9,1.9307829824324865,-5.24191651322384,1.22872205212255,-4.26615319890183,1.9811721310628777e-05,6.670799597733873e-05,DR,Immune
124,ENSG00000095383,TBC1D2,1.7158049628274321,-4.52036246656678,0.924216492550647,-4.89102120877708,1.002948966228995e-06,3.973590042876986e-06,DR,Immune
125,ENSG00000095713,CRTAC1,3.472964185368007,-7.96359874192067,0.872695864503533,-9.12528529793261,0.0,0.0,DR,Immune
126,ENSG00000095970,TREM2,4.41816389712478,-8.808795489328311,0.874713711315217,-10.070489778974,0.0,0.0,DR,Immune
127,ENSG00000100258,LMF2,4.429374518565532,-9.33703332603533,0.861328427553723,-10.840270711317,0.0,0.0,DR,Immune
128,ENSG00000102081,FMR1,4.813026908170117,-8.35676739944672,0.942798878413202,-8.863785894094141,0.0,0.0,DR,Immune
129,ENSG00000103489,XYLT1,4.140999319297517,-8.925191592105561,0.865201446523747,-10.315738176312198,0.0,0.0,DR,Immune
130,ENSG00000104205,SGK3,1.3632998293226366,-4.09722774634714,1.10090793788676,-3.7216806286381603,0.00019059164586939436,0.0005509783375606146,DR,Immune
